Adam, Fortunate Eagle
Bayard, Rustin
Buffy, Sainte-Marie
Che, Guevara
D,'Arcy McNickle
Dennis, Banks
Desmond, Tutu
Duke, Redbird
Elizabeth, Fry
Eufrosina, Cruz
Farley, Mowat
Fidel, Castro
Florynce, Kennedy
Floyd, "Red Crow" Westerman
Frederick, Douglass
Gloria, Steinem
Harriet, Tubman
Haunani,-Kay Trask
Helen, Keller
John, Mohawk
John, Trudell
Julian, Assange
Leon, Trotsky
Leonard, Crow Dog
Ljubo, Čupić
Malcolm, X
Margot, Kidder
Martin, Luther King Jr.
Mary, Brave Bird
Matilda, Joslyn Gage
Mohandas, Karamchand Gandhi
Monte, Melkonian
Nelson, Mandela
Q,'orianka Kilcher
Roman, Protasevich
Rosa, Parks
Rupert, Richardson
Russell, Means
Sheila, Kitzinger
Spartacus,
Thomas, Paine
Vine, Deloria Jr.
Vladimir, Lenin
William, Apess
William, Wallace
Zitkála,-Šá
Abraham, Maslow
Ada, Lovelace
Adam, Smith
Adebowale, Adefuye
Alan, Turing
Albert, Camus
Alexander, von Humboldt
Alfred, Adler
Alfred, Marshall
Alfred, North Whitehead
Abu, Ali al-Husayn ibn Sina
Ammianus, Marcellinus
Anaxagoras,
Anaximander,
Anaximenes, of Miletus
Anselm, of Canterbury
Anthony, Giddens
Apollonius, of Perga
Archimedes,
Archytas,
Aristotle,
Arthur, Eddington
Arthur, Schopenhauer
Atticus,
Auguste, Comte
Augustine, of Hippo
Baruch, Spinoza
Benoit, Mandelbrot
Bernhard, Riemann
Bertrand, Russell
Blaise, Pascal
Boethius,
B,. F. Skinner
Carl, Friedrich Gauss
Carl, Jung
Carl, Rogers
Cassius, Dio
Charles, Babbage
Charles, de Secondat
Charles, Sanders Peirce
Christiaan, Huygens
Darko, Bratina
David, Benatar
David, Hilbert
David, Hume
David, Ricardo
David, Rittenhouse
Democritus,
Denis, Diderot
Desiderius, Erasmus
Diogenes, of Sinope
Diophantus, of Alexandria
Edmund, Husserl
Hakuin, Ekaku
Emil, Cioran
Émile, Durkheim
Empedocles,
Epictetus,
Epicurus,
Eratosthenes, of Cyrene
Erich, Fromm
Erik, Erikson
Euclid,
Évariste, Galois
Ferdinand, de Saussure
Ferdo, Šišić
Fibonacci,
Florimond, de Beaune
Florimond, de Raemond
Francis, of Assisi
Francis, Bacon
Franciscus, Gomarus
François,-Marie Arouet "Voltaire"
Freeman, Dyson
Friedrich, Engels
Friedrich, Hayek
Friedrich, Nietzsche
Gautama, Buddha
Geoffrey, of Monmouth
Geordie, Williamson
Georg, Wilhelm Friedrich Hegel
Georg, Simmel
George, Berkeley
G,. E. Moore
George, Santayana
Gerardus, Mercator
Gerolamo, Cardano
Giordano, Bruno
Giovanni, Domenico Cassini
Gorgias,
Gottfried, Wilhelm Leibniz
Gottlob, Frege
Gregory, of Tours
Guidobaldo, del Monte
Haskell, Curry
Helmuth, Nyborg
Henri, Bergson
Henri, Poincaré
Henry, David Thoreau
Heraclitus, of Ephesus
Hero, of Alexandria
Herodotus,
Hipparchus, of Nicaea
Hjalmar, Schacht
Hypatia, of Alexandria
Ibn, Khaldun
Immanuel, Kant
Isidore, of Seville
Jacques, Derrida
Jacques, Lacan
James, Gregory
Jan, Hus
Jean,-François Champollion
Jean, Chauvin
Jean, Piaget
Jean,-Jacques Rousseau
Jean,-Paul Sartre
Jeremy, Bentham
Jesus, Christ
Johann, Gottlieb Fichte
John, Duns Scotus
John, Dewey
John, Maynard Keynes
John, Locke
John, Stuart Mill
John, Napier
John, Forbes Nash Jr.
John, von Neumann
Joseph, Campbell
Joseph, Fourier
Joseph, Louis Lagrange
Joseph, Schumpeter
Josephus,
Josias, Simmler
Karl, Marx
Karl, Popper
Karl, Ritter
Katherine, Johnson
Meng, Ke
Kristalina, Georgieva
Kurt, Gödel
Laozi,
Leonhard, Euler
Leonida, Tonelli
Lev, Vygotsky
Livy,
Ljudevit, Gaj
Ljudevit, Jonke
Lucretius,
Ludwig, Wittgenstein
Mani,
Marcus, Aurelius
Martin, Heidegger
Martin, Luther
Max, Weber
Mazdak,
Mehr, Abdul Haq
Michel, Foucault
Milovan, Gavazzi
Milton, Friedman
Moses, Maimonides
Abu,'l-Walid Muhammad ibn Rushd
Muhammad,
Abu, Nasr Muhammad al-Farabi
Abu, Hamid Muhammad ibn Muhammad al-Ghazali
Muhammad, al-Idrisi
Muhammad, ibn Musa al-Khwarizmi
Muhammad, al-Razi
Nagarjuna,
Niccolò, Machiavelli
Nicholas, of Cusa
Niels, Henrik Abel
Noam, Chomsky
Omar, Khayyám
Origen,
Oriol, Junqueras i Vies
Parmenides, of Elea
Pausanias,
Peter, Wessel Zapffe
Philo,
Pierre, Abélard
Pierre, Bourdieu
Pierre,-Simon Laplace
Plato,
Plotinus,
Plutarch,
Polybius,
Protagoras,
Pyotr, Kropotkin
Pyrrho,
Pythagoras,
Sima, Qian
Kong, Qiu
Rado, Lenček
Raimond, Gaita
Raymond, Aron
René, Descartes
Reşat, Ekrem Koçu
Rudolf, Steiner
Rupert, of Deutz
Sabino, Acquaviva
Seneca, the Younger
Sigmund, Freud
Simone, de Beauvoir
Slavoj, Žižek
Socrates,
Søren, Kierkegaard
Strabo,
Suetonius,
Svetozar, Stojanović
Tacitus,
Talcott, Parsons
Tertullian,
Thales,
Theodor, W. Adorno
Theodor, Mommsen
Thomas, Aquinas
Thomas, Hobbes
Thomas, Robert Malthus
Thomas, More
Thucydides,
Toufik, Mansour
Tullio, Gregory
Sun, Tzu
Vahakn, Dadrian
Viktor, Frankl
Vilfredo, Pareto
Wilhelm, Reich
Wilhelm, Wundt
Willard, Van Orman Quine
William, of Ockham
William, James
Xenophanes, of Colophon
Xenophon,
Abu, Yusuf Yaqub al-Kindi
Zeno, of Citium
Zeno, of Elea
Zerah, Colburn
Ziya, Onis
Zoroaster,